1024-n-regs_16-rob-entries_16-iq-entries,0.006321
1024-n-regs_16-rob-entries_256-iq-entries,0.006321
1024-n-regs_16-rob-entries_4-iq-entries,0.010484
1024-n-regs_16-rob-entries_64-iq-entries,0.006321
1024-n-regs_256-rob-entries_16-iq-entries,0.004909
1024-n-regs_256-rob-entries_256-iq-entries,0.003729
1024-n-regs_256-rob-entries_4-iq-entries,0.010484
1024-n-regs_256-rob-entries_64-iq-entries,0.003754
1024-n-regs_4-rob-entries_16-iq-entries,0.017681
1024-n-regs_4-rob-entries_256-iq-entries,0.017681
1024-n-regs_4-rob-entries_4-iq-entries,0.017681
1024-n-regs_4-rob-entries_64-iq-entries,0.017681
1024-n-regs_64-rob-entries_16-iq-entries,0.004909
1024-n-regs_64-rob-entries_256-iq-entries,0.003846
1024-n-regs_64-rob-entries_4-iq-entries,0.010484
1024-n-regs_64-rob-entries_64-iq-entries,0.003846
256-n-regs_16-rob-entries_16-iq-entries,0.006321
256-n-regs_16-rob-entries_256-iq-entries,0.006321
256-n-regs_16-rob-entries_4-iq-entries,0.010484
256-n-regs_16-rob-entries_64-iq-entries,0.006321
256-n-regs_256-rob-entries_16-iq-entries,0.004909
256-n-regs_256-rob-entries_256-iq-entries,0.003729
256-n-regs_256-rob-entries_4-iq-entries,0.010484
256-n-regs_256-rob-entries_64-iq-entries,0.003754
256-n-regs_4-rob-entries_16-iq-entries,0.017681
256-n-regs_4-rob-entries_256-iq-entries,0.017681
256-n-regs_4-rob-entries_4-iq-entries,0.017681
256-n-regs_4-rob-entries_64-iq-entries,0.017681
256-n-regs_64-rob-entries_16-iq-entries,0.004909
256-n-regs_64-rob-entries_256-iq-entries,0.003846
256-n-regs_64-rob-entries_4-iq-entries,0.010484
256-n-regs_64-rob-entries_64-iq-entries,0.003846
64-n-regs_16-rob-entries_16-iq-entries,0.006321
64-n-regs_16-rob-entries_256-iq-entries,0.006321
64-n-regs_16-rob-entries_4-iq-entries,0.010484
64-n-regs_16-rob-entries_64-iq-entries,0.006321
64-n-regs_256-rob-entries_16-iq-entries,0.004983
64-n-regs_256-rob-entries_256-iq-entries,0.004697
64-n-regs_256-rob-entries_4-iq-entries,0.010484
64-n-regs_256-rob-entries_64-iq-entries,0.004697
64-n-regs_4-rob-entries_16-iq-entries,0.017681
64-n-regs_4-rob-entries_256-iq-entries,0.017681
64-n-regs_4-rob-entries_4-iq-entries,0.017681
64-n-regs_4-rob-entries_64-iq-entries,0.017681
64-n-regs_64-rob-entries_16-iq-entries,0.004983
64-n-regs_64-rob-entries_256-iq-entries,0.004697
64-n-regs_64-rob-entries_4-iq-entries,0.010484
64-n-regs_64-rob-entries_64-iq-entries,0.004697
